Make,Country,Year
Chevrolet,China,2012
Chevrolet,Ukraine,2006
Dodge,Ireland,2005
Oldsmobile,Dominican Republic,1995
Toyota,Sweden,2001
Maserati,China,1987
Mercury,Zambia,1989
Toyota,Argentina,2001
Dodge,Indonesia,1999
Hyundai,Russia,1997
BMW,Indonesia,2010
Plymouth,Russia,1999
Dodge,China,2010
Lexus,China,2004
Nissan,Poland,1993
GMC,Portugal,2005
Toyota,Denmark,1997
Land Rover,France,2003
BMW,Netherlands,2008
Ford,Russia,2004
Dodge,Iran,1992
Volkswagen,Russia,2012
Chevrolet,Indonesia,2007
Chevrolet,China,2001
Volvo,Japan,1995
Toyota,Indonesia,2009
Subaru,United States,2011
Plymouth,Ukraine,1998
Audi,China,1992
Lexus,China,2010
Lexus,Syria,2012
Dodge,Japan,1997
Ford,Indonesia,1990
Ford,Cameroon,1988
Mitsubishi,China,2008
Mazda,Czech Republic,2000
Toyota,Jordan,2011
Chrysler,Iran,2001
Kia,China,2002
Mazda,Philippines,1998
Chevrolet,Brazil,1997
GMC,China,2012
Lincoln,Philippines,1987
Toyota,China,2004
Dodge,France,1996
Oldsmobile,Japan,1997
Kia,Colombia,1995
Ford,Argentina,2012
Acura,Poland,2010
Dodge,Sweden,1995
Buick,China,1996
Chevrolet,Democratic Republic of the Congo,2001
Toyota,Liechtenstein,1992
Lincoln,China,2010
Porsche,China,2003
Saturn,Japan,2004
Chevrolet,Croatia,2003
Volvo,Philippines,1999
Jeep,Portugal,2008
Honda,French Guiana,2003
BMW,Portugal,2010
Chevrolet,Greece,1999
Nissan,Brazil,2011
Audi,Indonesia,1991
Chrysler,Peru,2004
Plymouth,Philippines,1993
Lexus,Mali,2011
Aston Martin,Czech Republic,2010
Toyota,South Africa,2010
Jaguar,Serbia,1999
Peugeot,Sweden,2006
Acura,Indonesia,2001
Dodge,Sweden,1992
Hyundai,Nigeria,2003
Volvo,Greece,1993
Nissan,Portugal,1994
Mitsubishi,Russia,1998
Toyota,Palestinian Territory,2004
Mercedes-Benz,Thailand,2002
Cadillac,China,2001
Toyota,Poland,2002
Ford,Peru,2010
Acura,Indonesia,2006
Chevrolet,China,2002
GMC,China,2011
BMW,Indonesia,2010
Buick,China,1989
Chevrolet,Poland,2004
Cadillac,Indonesia,2012
Buick,Russia,2012
Corbin,Brazil,2004
Infiniti,China,1993
Hyundai,Philippines,2013
Hyundai,Russia,2007
Chevrolet,Philippines,1993
Mercedes-Benz,China,1998
Toyota,Germany,2012
BMW,Sweden,2005
Chevrolet,United States,2010
Audi,China,2010
